/state-california-employee-holidays,,holiday credit,Crédito de vacaciones,度假信贷
/state-california-employee-holidays,,2020 holidays,Días festivos de 2020,2020和节假日
/state-california-employee-holidays,,2021 holidays,Días festivos de 2021,2021和节假日
/request-birth-certificate,,Request a birth certificate,Solicitar un certificado de nacimiento,申请出生证明
/request-birth-certificate,,Request a birth certificate - Welcome to Alpha.CA.gov,Solicitar un certificado de nacimiento - Bienvenido a Alpha.CA.gov,申请出生证明 - 欢迎Alpha.CA.gov
/request-birth-certificate,,"Request a California birth certificate in person, by mail, or online.","Solicitar un certificado de nacimiento en persona, por correo, o por internet",申请出生证的人，通过邮件，或在线
/request-birth-certificate,,Request a birth certificate - Alpha.CA.gov,Solicitar un certificado de nacimiento - Alpha.CA.gov,申请出生证明 -  Alpha.CA.gov
/request-birth-certificate,,There are three main ways to order a California birth certificate.,Hay tres maneras de pedir un certificado de nacimiento de California.,有三种方法，要求在加州出生证明。
/request-birth-certificate,,Visit a county office,Visita una oficina del condado,访问县委办公室
/request-birth-certificate,,You have to apply with the county where the person was born.,Tiene que presentar su solicitud con el condado donde nació la persona.,您必须在人出生县提交申请。
/request-birth-certificate,,Cost: $28,Costo: $28,费用：$ 28日
/request-birth-certificate,,"Processing time: Varies, but could be as soon as the same day","Tiempo de procesamiento: Varía, pero podría ser tan pronto como el mismo día",处理时间：不定，但可能是早在当天
/request-birth-certificate,,You'll sign a sworn statement in front of a county worker.,Firmará una declaración jurada frente a un trabajador del condado.,他将签订一个县工人面前宣誓声明。
/request-birth-certificate,,"You may need to bring a driver's license, passport, or other photo ID from the government that hasn't expired.","Es posible que deba traer una licencia de conducir, pasaporte u otra identificación con foto del gobierno que no haya expirado.",您可能需要携带驾驶执照，护照或尚未到期的政府的其他照片的身份证明。
/request-birth-certificate,,Mail a request,Envíe una solicitud por correo,发送通过邮件的请求
/request-birth-certificate,,"You may have to find a notary to sign your application, depending on whether you want an",Debe contratar a un notario para obtener una,你必须聘请一个公证人
/request-birth-certificate,,authorized or informational copy,copia autorizada.,授权的拷贝。
/request-birth-certificate,,Cost: $25 (plus the price of notarization),Costo: $25 (más el precio de la notarización),费用：$ 25（加公证的价格）
/request-birth-certificate,,Processing time: 3 to 4 weeks or more (expected to take longer in 2020 because of the demand for,Tiempo de procesamiento: 3 a 4 semanas o más (se espera que tome más tiempo en 2020 debido a la demanda de,处理时间：3〜4周或更长的时间（比预期在2020年至需要更长的时间，因为需求
/request-birth-certificate,,Real ID,Real ID,真实身份
/request-birth-certificate,,Apply online,Solicitar por internet,在线申请
/request-birth-certificate,,You can apply online through the private companies VitalChek and Vital Records Now.,Puede solicitar en línea a través de empresas privadas VitalChek y Vital Records Now,您可以通过私人公司和重要记录现在VitalChek网上申请
/request-birth-certificate,,Cost: $31–$110,Costo: $31-110,费用：$ 31-110
/request-birth-certificate,,Processing time: 2 to 3 weeks,Tiempo de procesamiento: 2-3 semanas,处理时间：2-3周
/request-birth-certificate,,More about requesting a,Más información sobre cómo solicitar un,如何请求更多信息
/request-birth-certificate,,birth certificate,certificado de nacimiento,出生证明
/hire-licensed-contractor-home-improvements,,Hire a licensed contractor for home improvements,Contratar un contratista con licencia para mejorar su hogar,聘请有执照的承包商，以提高你的家
/hire-licensed-contractor-home-improvements,,Hire a licensed contractor for home improvements - Alpha.CA.gov,Contratar un contratista con licencia para mejorar su hogar - Alpha.CA.gov,聘请有执照的承包商，以提高你的家 -  Alpha.CA.gov
/hire-licensed-contractor-home-improvements,,Follow these suggested steps to make home improvements the safe way and protect your home and your money.,Siga estos pasos sugeridos para que las mejoras en su hogar sean de una manera segura y a la vez proteja su hogar y su dinero.,请按照以下步骤建议改善住房的安全，并保护您的家庭的时间和金钱。
/hire-licensed-contractor-home-improvements,,Decide what type of contractor you need,Decida qué tipo de contratista necesita,决定什么类型的承包商需求
/hire-licensed-contractor-home-improvements,,"<p><strong>General Engineering Contractors</strong> and <strong>General Building Contractors</strong> usually manage subcontractors for a job.</p><p><strong>Specialty Contractors</strong> are often hired to do a single job, such as roofing or plumbing.</p>","<P><STRONG> Los contratistas de ingeniería general </STRONG> y <STRONG> los contratistas generales de construcción </STRONG> usualmente supervisan proyectos y dirigen trabajos de subcontratistas.</P><P><STRONG> Contratistas especializados </STRONG> a veces son contratados para hacer un solo trabajo, como techos o plomería.</P>",<P> <STRONG>承包商通用工程</ STRONG>和<STRONG>施工总承包</ STRONG>通常兼管项目和分包商的直接工作。</ P>专业<P> <STRONG>承包商< / STRONG>它们有时雇用做一个作业，如屋顶或管道。</ P>
/hire-licensed-contractor-home-improvements,,Choose the type of contractor you need,Elija el tipo de contratista que necesite,选择承包商的类型，你需要
/hire-licensed-contractor-home-improvements,,Check if you need a building permit,Compruebe si necesita un permiso de construcción,检查您是否需要建筑许可证
/hire-licensed-contractor-home-improvements,,"You must get a building permit from your local building department for new construction, remodeling, or repairs.","Debe obtener un permiso de construcción de su departamento de construcción local para nuevas construcciones, remodelaciones y reparaciones.",您必须向当地建设部门进行新的建设取得建筑许可证，改造和维修。
/hire-licensed-contractor-home-improvements,,Check with your local building department,Consulte con su departamento de construcción local,请与当地建设部门
/hire-licensed-contractor-home-improvements,,Find at least three licensed contractors,Compare al menos tres contratistas con licencia,它比较到至少三个许可承包商
/hire-licensed-contractor-home-improvements,,Ask friends and family for contractors they'd recommend.,Pregúntele a amigos y familiares si tienen contratistas que recomienden,让家人和朋友，如果他们有谁推荐的承包商
/hire-licensed-contractor-home-improvements,,"Search online and read reviews, but consider the source.","Busque por internet que commentarios otros tienen acerca del contratista, pero a la vez, asegúrese de que el sitio de internet sea legítimo.",看看网上有关于承包其他意见，但在同一时间，确保该网站是合法的。
/hire-licensed-contractor-home-improvements,,"For repairs, your homeowners insurance might cover the cost and suggest contractors for you.","Si es dueño de su casa, su cobertura de seguro de vivienda podría cubrir el costo y conseguir contratistas por usted.",如果你拥有你的家，你的房屋保险覆盖范围可以覆盖成本承办，并得到你。
/hire-licensed-contractor-home-improvements,,Find licensed contractors in your city,Encuentre contratistas con licencia en su ciudad,查找您所在城市承办许可
/hire-licensed-contractor-home-improvements,,Look up their licenses,Verifique la licencia de su contratista,检查您的承包商执照
/hire-licensed-contractor-home-improvements,,Contractors must have a license to do work that costs $500 or more.,Cada contratista debe tener una licencia para hacer cualquier tipo de trabajo que cuesta $500 dólares o más.,每个承包商必须有许可证才能做到这一点花费$ 500美元以上的任何工作。
/hire-licensed-contractor-home-improvements,,"To look up their licenses, you could:","Para verificar la licencia de su contratista, podría:",要检查你的承包商的许可，您可以：
/hire-licensed-contractor-home-improvements,,Call (800) 321-2752,Llamar a (800) 321-2753,电话（800）321-2753
/hire-licensed-contractor-home-improvements,,Check your contractors' licenses online,Revise la licencias de sus contratistas por internet,检查您的承包商在线许可
/hire-licensed-contractor-home-improvements,,Get at least three price estimates in writing,Obtenga al menos tres precios estimados por escrito,得到至少三种价格估计写作
/hire-licensed-contractor-home-improvements,,Compare your contractors' costs for the same project.,Compare los tres estimados y costos proveídos por el mismo proyecto.,比较三项费用估计和由同一项目提供。
/hire-licensed-contractor-home-improvements,,Beware of a price estimate that's much lower than the others. They may do the job with cheap materials or poor quality of work.,Tenga cuidado con estimaciones que sean mucho más bajos que los demás. Esto puede implicar que le podrían hacer el trabajo con materiales baratos o mala calidad.,当心估计比别人低得多。这可能意味着你可以用廉价的材料或质量差的做的工作。
/hire-licensed-contractor-home-improvements,,Ask your contractor to share their insurance,Pídele a su contratista prueba de seguro,问问你的承包商保险证明
/hire-licensed-contractor-home-improvements,,You might be held responsible for workers' injuries if your contractor doesn't have the right insurance.,Usted podría ser responsable de las heridas de los trabajadores si su contratista no tiene el seguro correcto.,你可以负责工人的伤害，如果你的承包商没有正确的保险。
/hire-licensed-contractor-home-improvements,,Ask them to share the name of their insurance carrier or copies of both their:,Pídales que compartan el nombre de su compañía de seguros o copias de su:,让他们分享您的保险公司或您的副本名称：
/hire-licensed-contractor-home-improvements,,Workers' compensation insurance,Seguro de compensación de trabajadores,职工赔偿保险
/hire-licensed-contractor-home-improvements,,General liability insurance,Seguro de responsabilidad civil general,一般责任保险
/hire-licensed-contractor-home-improvements,,Your homeowners insurance may or may not cover the costs of injuries. But your insurance provider should be able to help you check your contractor's insurance.,Su seguro de propietarios puede o no cubrir los costos de heridas. Pero su proveedor de seguros podrá ayudarle a verificar el seguro de su contratista.,您的家庭财产保险可能会或可能不会覆盖损伤的费用。但是，你的保险供应商可以帮助您确认您的承包商保险。
/hire-licensed-contractor-home-improvements,,Confirm their contact information,Confirme su información de contacto,确认您的联系信息
/hire-licensed-contractor-home-improvements,,"Make sure your contractor has a current business address and phone number. If their work needs repair, you'll want to be able to find them after you've paid the last bill.","Asegúrese que su contratista tenga una dirección comercial y un número de teléfono válido. Así si su trabajo necesita reparos después que el proyecto haya terminado, usted ya tendrá información de contacto después de haber pagado la última factura.",请确保你的承包商有商务地址和有效的电话号码。因此，如果该项目建成后，你的工作需要修理，您已经将联系人信息，您所支付的最后一笔之后。
/hire-licensed-contractor-home-improvements,,Contact their references,Póngase en contacto con las referencias del contratista,联系承包商的引用
/hire-licensed-contractor-home-improvements,,Ask your contractor for the contact information of their former customers.,Pregúntele a su contratista por la información de contacto de sus clientes anteriores. Esto le ayudará a entender la calidad del trabajo de su contratista.,问问你的承包商自己以前的客户的联系信息。这将帮助你了解你的工作承包商的质量。
/hire-licensed-contractor-home-improvements,,"Then, ask those customers if they were happy with your contractor's project. And ask to see pictures, if possible. This will help you understand the quality of your contractor's work.","Póngase en contacto con esos clientes para preguntar si estaban satisfechos con el proyecto de su contratista. Pida ver fotos, si es posible.",联系这些客户，询问他们是否用其承包的草案感到满意。要求看照片，如果可能的话。
/hire-licensed-contractor-home-improvements,,Ask to see your contractor's pocket license,Pida ver la licencia de bolsillo de su contratista,要求看他的承包商的许可证口袋
/hire-licensed-contractor-home-improvements,,"When your contractor comes to your house, ask to see a copy of their pocket license. Compare it to their driver's license or other photo ID.","Cuando el contratista venga a su casa, pida que le muestre una copia de su licencia de tamaño de bolsillo. Compárelo con su licencia de conducir u otra identificación con foto.",当承包商来到你的家，请展现你的许可口袋大小的副本。与你的驾驶执照或其他带照片证件进行比较。
/hire-licensed-contractor-home-improvements,,Sign a contract,Firme un buen contrato,签好合同
/hire-licensed-contractor-home-improvements,,"A good contract includes how and when the work will be done, the materials used, and the total cost. It will protect you if you have a disagreement with your contractor.","Un buen contrato debe incluir cómo y cuándo se realizará el trabajo, los materiales utilizados y el costo total. Esto le protegerá si tiene un desacuerdo con su contratista.",好的合同应该包括如何以及何时工作将完成，使用的材料和总成本。如果你有你的承包商分歧这将保护你。
/hire-licensed-contractor-home-improvements,,What to look for in your contract,Qué buscar en su contrato,如何查找在你的合同
/hire-licensed-contractor-home-improvements,,"Pay no more than $1,000 or 10 percent down, whichever is less","No pague más de $1,000 o el 10% de la cantidad total en su depósito. Escoja la cantidad que sea menos","不支付超过$ 1,000或存款总额的10％。选择量少"
/hire-licensed-contractor-home-improvements,,"By law, a contractor can't charge you a downpayment of more than $1,000 or 10 percent of your total, whichever is less.","Por ley, un contratista no le puede cobrar un depósito que sobresalga $1,000 o 10% de la cantidad total que costará el proyecto. Por ejemplo, si el proyecto le costará $5,000, el contratista no le puede requerir que pague $1,000.00 de depósito, ya que usted puede elegir darle $500.00 (10 por ciento de $5,000) por ser la cantidad más baja.","根据法律规定，承包商可以不收取突出$ 1,000或总金额将花费项目的10％的定金。例如，如果该项目将耗资$ 5,000，承包人不得将要求您支付$ 1,000.00定金，你可以选择给$ 500.00（$ 5,000 10％）用于为最低量。"
/hire-licensed-contractor-home-improvements,,"And to protect your money, never pay in cash.","Y para proteger su dinero, nunca pague en efectivo, ya que, si hay algún desacuerdo, usted necesitará prueba de los pagos que hizo.",并保护他们的钱，从来没有支付现金，因为如果有任何异议，您将需要作出的付款证明。
/sign-up-for-local-emergency-alerts/,,Sign up for emergency alerts for your county in California,Suscríbase para alertas de emergencia de su condado en California,注册紧急警报在加利福尼亚州的县
/sign-up-for-local-emergency-alerts/,,Sign up for local emergency alerts,Suscríbase para alertas de emergencia,注册紧急警报
/sign-up-for-local-emergency-alerts/,,Please enter your county or zip code,Por favor ingrese su condado o código postal,请输入您的县或邮编
/sign-up-for-local-emergency-alerts/,,Type 2 or more characters for results,Inscribe 2 o más caracteres para obtener resultados,题2或结果更多的字符
/sign-up-for-local-emergency-alerts/,,Find alerts,Buscar alertas,搜索警报
/sign-up-for-local-emergency-alerts/,,Please enter a county or zip code in California,Ingrese un condado o código postal en California,输入在加利福尼亚州的一个县或邮政编码
/contact-us/,,Please enter the name of the agency you want to contact:,Ingrese el nombre de la agencia con la que desea contactar:,输入您要联络机构的名称：
/contact-us/home,,Contact us - Alpha.CA.gov,Contáctenos - Alpha.CA.gov,联系我们 -  Alpha.CA.gov
/contact-us/results/,,Contact us - Alpha.CA.gov,Contáctenos - Alpha.CA.gov,联系我们 -  Alpha.CA.gov
/find-shelter,,Find shelters near you,Encuentre refugios mas cercano de usted ,查找离您最近的庇护所
/find-shelter,,Search for shelters in every California county,Busque refugios in cada condado de California,寻求庇护了在加利福尼亚州各县
/find-shelter,,"Search for temporary housing, disaster relief shelters, and homeless shelters near you.","Busque alojamiento temporal, refugios de socorro, y refugios cerca de usted.",寻找临时住房，应急避难场所，以及您附近收容所。
/find-shelter,,"Please enter your address, city, or zip code:","Por favor introduzca se direccion, ciudad, o codigo postal",请输入意志地址，城市或邮政编码
/find-shelter,,Find shelters,Encuentre refugios,寻找庇护所
/check-your-tap-water-quality,,Check your tap water quality,Examine la calidad del agua del grifo,检查自来水质量
/check-your-tap-water-quality,,Loading...,Buscando...,搜索...
/check-your-tap-water-quality,,Your water quality,La calidad del agua,水质
/check-your-tap-water-quality,,Your tap water met,Su agua del grifo cumple,它从自来水符合
/check-your-tap-water-quality,,California safety standards,estándares de seguridad de California,加州安全标准
/check-your-tap-water-quality,,"as of August 30, 2019.",a partir del 30 de agosto de 2019,从2019年8月30日
/check-your-tap-water-quality,,Where your water comes from,De donde viene su agua,哪里的水
/check-your-tap-water-quality,,They test your water before it leaves their facilities. Your water system also keeps the most up-to-date and detailed information about your water. They publish a yearly report on your water quality called a, Hacen pruebas de su agua antes de salir de las instalaciones. Su sistema de agua tambien tiene la información mas frecuente y detallada sobre su agua. Publican un informe anual sobre la calidad de su agua llamado el, 他们离开单位前，测试您的水。你的水系统也有关于你的水最频繁，最详细的信息。对水的质量堪称发布的年度报告
/check-your-tap-water-quality,,Consumer Confidence Report,Informe de Confianza del Consumidor,消费者信心的报告
/check-your-tap-water-quality,,Your water system is,Su sistema de agua es,你的水系统
/check-your-tap-water-quality,,"Now that your water is not safe to drink, they will have advice about what to do.","Ahora que el agua no es segura para beber, tendrán consejos sobre qué hacer.",既然水是不安全的喝，他们必须做什么的提示。
/check-your-tap-water-quality,,They test your water before it leaves their facilities. Your water system also has the most up-to-date and detailed information about your water. They publish a yearly report on your water quality called a,Hacen pruebas de su agua antes de salir de las instalaciones. Su sistema de agua tambien tiene la información mas frecuente y detallada sobre su agua. Publican un informe anual sobre la calidad de su agua llamado el,他们离开单位前，测试您的水。你的水系统也有关于你的水最频繁，最详细的信息。对水的质量堪称发布的年度报告
/check-your-tap-water-quality,,Check your water,Examine su agua,检查你的水
/check-your-tap-water-quality,,How your water system checks for safety,Cómo su sistema de agua examina la seguridad,如何使你的水系统安全检查
/check-your-tap-water-quality,,"Your water system tests at least yearly for chemicals, bacteria, and viruses that could be harmful to human health.","Su sistema de agua hace pruebas al menos una vez al año para detectar productos químicos, bacterias y virus que podrían ser dañoso para la salud humana.",你的水系统，使至少检查一次，每年检测的化学物质，细菌和病毒，可能对人体健康有害。
/check-your-tap-water-quality,,Please enter your address,"Por favor, introduzca su dirección de",请输入您的地址
/check-your-tap-water-quality,,"They also track changes to the way your water tastes, looks, or smells.","También hacen cambios en la forma en que su agua sabe, se ve, o huele.",此外，他们做出改变的方式你的水的口味，外观或气味。
/apply-discounted-phone-service,,(California LifeLine) - Alpha.CA.gov,(Programa Lifeline de Califronia) - Alpha.CA.gov,（生命线计划Califronia） -  Alpha.CA.gov
/apply-discounted-phone-service,,"Follow these six steps to apply for California Lifeline, a discounted phone service.","Sigue estos seis pasos para solicitar el programa California Lifeline, un servicio telefónico con descuento.",按照这六个步骤申请加州生命线节目，折扣电话服务。
/apply-discounted-phone-service,,California LifeLine lowers the cost of your monthly bill for your cell or landline phone.,El programa California LifeLine reduce el costo de su factura mensual de su teléfono celular o fijo. Este descuento es para hogares,加州生命线程序从您的手机或座机减少你每月账单的费用。该折扣是家庭
/apply-discounted-phone-service,,A household is a group of people who live together and share income and expenses (even if they are not related to each other).,Un hogar es un grupo de personas que viven juntas y comparten ingresos y gastos (incluso si no están relacionados uno al otro).,一个家庭是一群人谁住在一起，共享收入和支出（即使它们与一个其他）。
/apply-discounted-phone-service,,households,hogares,户
/apply-discounted-phone-service,,that:,que,那
/apply-discounted-phone-service,,Get public assistance,Reciben asistencia pública,公共援助
/apply-discounted-phone-service,,Or have an income below a certain amount,O tienen un ingreso por debajo de cierta cantidad,或者，他们有低于一定数额的收入
/apply-discounted-phone-service,,This discount is for households that,Este descuento es para los hogares que,该折扣是家庭
/apply-discounted-phone-service,,A household is a group of people who live together and share income and expenses (even if they are not related to each other),Un hogar es un grupo de personas que viven juntas y comparten los ingresos y gastos (incluso si no están relacionados entre sí),一个家庭是一群人谁住在一起，共享收入和支出（即使他们无关）
/apply-discounted-phone-service,,Check if you can get a discount,Verifique si puede recibir el descuento,检查您是否能够获得折扣
/apply-discounted-phone-service,,Choose a phone company that offers discounts,Elije una compañía telefónica que ofrezca descuentos,选择一个电话公司，提供折扣
/apply-discounted-phone-service,,Find a new phone company that offers a California LifeLine discount. Or check if your existing phone company offers a discount.,Encuentre una nueva compañía telefónica que ofrezca un descuento del Programa California LifeLine.,找到一个新的电话公司，提供加州生命线课程的折扣。
/apply-discounted-phone-service,,Find a phone company,Encuentra una compañía telefónica,是电话公司
/apply-discounted-phone-service,,Contact your phone company,Contacte a su compañía telefónica,联系电话公司
/apply-discounted-phone-service,,"Ask the phone company you chose to start your application for the California LifeLine program. They should tell you if you can get a discount and start the application process for you. Then, we'll send you a letter in the mail.","Preguntale a la compañía telefónica que elije que inicie su aplicación para el programa California LifeLine. Deben decirle si puede obtener un descuento e iniciar el proceso de aplicacar por usted. Luego, le enviaremos una carta por correo.",要求电话公司，你选择你开始为加州生命线程序应用。你应该告诉你，如果你能得到的折扣和启动过程aplicacar你。然后，我们会通过邮件发送一封信。
/apply-discounted-phone-service,,Read our pink letter in the mail,Lee nuestra carta rosa en el correo,请阅读我们的粉红色信件在邮寄
/apply-discounted-phone-service,,"In three weeks, you should get a pink letter in the mail. Open it to find your application form.","En tres semanas, debería recibir una carta rosa por correo. Ábralo para encontrar su formulario para aplicar.",三个星期后，您会收到邮寄玫瑰一封信。打开它，找到你的表格申请。
/apply-discounted-phone-service,,"If you contacted your phone company but still haven’t gotten your application form in the mail, please","Si contactó a su compañía telefónica pero aún no recibió su formulario para solicitar por correo, por favor ",如果您联系您的电话公司，但尚未收到您的申请表邮寄，请
/apply-discounted-phone-service,,>contact us,>contáctenos,>联系
/apply-discounted-phone-service,,Apply online or by mail,Solicite por internet o por correo,在网上或通过邮寄申请
/apply-discounted-phone-service,,Apply online,Solicite por internet,在线申请
/apply-discounted-phone-service,,Apply by mail. Simply fill out and mail back the form inside your pink letter.,Solicite por correo. Simplemente complete y envíe por correo la aplicación dentro de su carta rosa.,通过邮件索取。只需填写并邮寄其粉红色的信中的应用。
/apply-discounted-phone-service,,Get our decision in the mail,Recibe nuestra determinación en el correo,接收我们决心在邮件
/apply-discounted-phone-service,,"We’ll send you a letter to let you know if you’re approved. If so, you’ll start getting a monthly discount from your phone company automatically.","Le enviaremos una carta para informarle si está aprobado. Si es así, comenzará a obtener un descuento mensual de su compañía telefónica automáticamente.",如果获得批准，我们将寄给您一封信。如果是这样，你将开始自动从你的电话公司每月在减除。
/apply-discounted-phone-service,,Renew in one year,Renueve en un año,续约一年
/apply-discounted-phone-service,,"One year from your start date, we'll send you another pink letter in the mail asking you to renew your discount. Then, you can use your letter to renew by mail or","Un año después de su fecha de inicio, le enviaremos otra carta rosa por correo solicitándole que renueve su descuento. Luego, puede usar su carta para renovar por correo o",它的起始日期一年之后，我们将再次发送信件玫瑰在邮件中要求您更新您的折扣。然后你可以使用你的卡邮寄续约或
/apply-discounted-phone-service,,>online<,>por internet<,>在线<
/apply-discounted-phone-service,,>Help<,>Ayuda<,>帮助<
/apply-discounted-phone-service,,"If you need help,",Si necesitas asistencia,如果您需要帮助
/who-can-get-discounted-phone-service,,"Find out if you’re eligible for the California LifeLine Program, a discounted phone service.","Averigüe si es elegible para el Programa California LifeLine, un servicio telefónico con descuento.",了解你是否有资格获得美国加州生命线课程，贴现电话服务。
/who-can-get-discounted-phone-service,,(California LifeLine) - Alpha.CA.gov,(Programa Lifeline de Califronia) - Alpha.CA.gov,（生命线计划Califronia） -  Alpha.CA.gov
/who-can-get-discounted-phone-service,,Check if you can get a discounted phone service,Verifique si puede recibir un servicio telefónico con descuento,检查是否可以接受折扣电话服务
/who-can-get-discounted-phone-service,,Do you or someone in your,Usted o alguien en su,您或您
/who-can-get-discounted-phone-service/no-not-sure,,A household is a group of people who live together and share income and expenses (even if they are not related to each other).,Un hogar es un grupo de personas que viven juntas y comparten ingresos y gastos (incluso si no están relacionados uno al otro).,一个家庭是一群人谁住在一起，共享收入和支出（即使它们与一个其他）。
/who-can-get-discounted-phone-service,,>household<,>hogar<,>首页<
/who-can-get-discounted-phone-service,,get support from any of these programs?,recibe apoyo de alguno de estos programas?,接收从这些方案的一个支持？
/who-can-get-discounted-phone-service,,Please check all that apply.,Por favor marque todos los que apliquen.,请检查所有适用。
/who-can-get-discounted-phone-service,,I’m not sure,No estoy seguro,我不知道
/who-can-get-discounted-phone-service,,Medicaid/Medi-Cal,Medicaid/Medi-Cal,医疗/的Medi-Cal
/who-can-get-discounted-phone-service,,"CalFresh, Food Stamps or Supplemental Nutrition Assistance Program (SNAP)","CalFresh, Estampillas para Alimentos o Programa de Asistencia para Nutrición Suplementaria (SNAP)",CalFresh，食品券计划或营养补助（SNAP）
/who-can-get-discounted-phone-service,,Low Income Home Energy Assistance Program (LIHEAP),Programa de Asistencia Energética para Hogares de Bajos Ingresos (LIHEAP),能源援助计划为低收入（LIHEAP）
/who-can-get-discounted-phone-service,,Supplemental Security Income (SSI),Ingreso Suplementario de Seguridad (SSI),补充保障收入（SSI）
/who-can-get-discounted-phone-service,,Federal Public Housing Assistance or Section 8,Programa Federal de Asistencia para la Vivienda o Sección 8,联邦计划住房援助或第8
/who-can-get-discounted-phone-service,,"Women, Infants and Children Program (WIC)","Programa Especial de Nutrición Suplementaria para Mujeres, Infantes y Niños (WIC)",特别补充营养计划的妇女，婴儿和儿童（WIC）
/who-can-get-discounted-phone-service,,National School Lunch Program (NSL),Programa nacional de almuerzos escolares gratuitos,全国免费学校午餐计划
/who-can-get-discounted-phone-service,,Temporary Assistance for Needy Families (TANF),Asistencia temporal para familias necesitadas (TANF),贫困家庭临时援助（TANF）
/who-can-get-discounted-phone-service,,California Work Opportunity and Responsibility to Kids (CalWORKs),Programa de Oportunidad de Trabajo y Responsabilidad para Niños (CalWORKs),工作计划机会和责任给孩子们（CalWORKs）
/who-can-get-discounted-phone-service,,Stanislaus County Work Opportunity and Responsibility to Kids (StanWORKs),"Programa StanWORKs, para los que viven en el condado de Stanislaus",StanWORKs程序那些生活在斯坦尼斯劳斯县
/who-can-get-discounted-phone-service,,Welfare-to-Work (WTW),Programa Welfare-To-Work (WTW),福利到工作（WTW）
/who-can-get-discounted-phone-service,,Greater Avenues for Independence (GAIN),Mejores Opciones Para Independizarse (GAIN),独立最佳选择（GAIN）
/who-can-get-discounted-phone-service,,Tribal TANF,Asistencia Temporal para Familias Necesitadas de Tribus (TANF Tribal),贫困家庭部落临时援助（TANF部落）
/who-can-get-discounted-phone-service,,Bureau of Indian Affairs General Assistance,Asistencia General del Bureau of Indian Affairs (BIA),印第安人事务局的一般援助（BIA）
/who-can-get-discounted-phone-service,,Head Start Income Eligible (Tribal Only),Head Start (Solo los hogares que cumplen con el estándar de ingresos),开端（只有符合收入水平的家庭）
/who-can-get-discounted-phone-service,,Food Distribution Program on Indian Reservations,Programa de Distribución de Alimentos en Reservaciones Indígenas (FDPIR),食品配送计划对印度预订（FDPIR）
/who-can-get-discounted-phone-service,,Federal Veterans and Survivors Pension Benefit Program,Beneficio de Pensión para Veteranos y Sobrevivientes,养老金福利退伍军人和遗属
/who-can-get-discounted-phone-service/qualified,,You can get a discount!,¡Usted puede obtener un servicio telefónico con descuento!,你可以得到一个打折的电话服务！
/who-can-get-discounted-phone-service/qualified,,"Next, you’ll want to find an official document to prove you get support from:","A continuación, querrá encontrar un documento oficial para demostrar que recibe asistencia de:",然后，你会希望有一个正式文件，证明从接受援助：
/who-can-get-discounted-phone-service/qualified,,Have your document with you as you,Téngalo cerca cuando termine su aplicación.,保持接近，当你完成你的应用程序。
/who-can-get-discounted-phone-service/qualified,,continue to step two</a>. Here are examples of documents that could prove you qualify:,continúe con el paso dos </a>. Aquí hay ejemplos de documentos que podrían probar que califica:,前进至步骤2 </A>。下面是一些可能证明资格的文件类型：
/who-can-get-discounted-phone-service/qualified,,ID card,tarjeta de identificación (ID),识别卡（ID）
/who-can-get-discounted-phone-service/qualified,,Decision letter,Carta de determinación,测定信
/who-can-get-discounted-phone-service/qualified,,Statement of benefits,Declaración de beneficios,利益声明
/who-can-get-discounted-phone-service/qualified,,Other official documents,Otros documentos oficiales,其他官方文件
/who-can-get-discounted-phone-service/no-not-sure,,How many people are in your household?,¿Cuántas personas viven en su hogar?,有多少人住在你的家庭吗？
/who-can-get-discounted-phone-service/no-not-sure,,Back to last question,Volver a la última pregunta,回到最后一个问题
/who-can-get-discounted-phone-service/total-income,,Back to last question,Volver a la última pregunta,回到最后一个问题
/who-can-get-discounted-phone-service/total-income,,Is your household’s total income below,Esta el ingreso total de su hogar debajo de,下面这个家庭总收入
/who-can-get-discounted-phone-service/qualified-income,,You can get a discount!,¡Usted puede obtener un servicio telefónico con descuento!,你可以得到一个打折的电话服务！
/who-can-get-discounted-phone-service/qualified-income,,"Next, you’ll want to find one of the following documents:","Next, you’ll want to find one of the following documents:",接下来，你要寻找以下文件之一：
/who-can-get-discounted-phone-service/qualified-income,,"The front page of your state, federal, or tribal tax return from last year.","La primera página de su declaración de impuestos estatal, federal o tribal del año pasado",你的国家，部族或联邦去年的税收第一页
/who-can-get-discounted-phone-service/qualified-income,,Or income statements or paycheck stubs for three months in a row. Those three months should be within the past 12 months.,O declaraciones de ingresos o recibos de sueldo durante tres meses seguidos. Esos tres meses deben estar dentro de los últimos 12 meses.,或损益表或连续三个月的工资单。那三个月必须是在过去12个月内。
/who-can-get-discounted-phone-service/qualified-income,,Have the document with you as you continue to step two.,Ten el documento con usted mientras continúe con el paso dos.,有文件，而你继续第二步。
/who-can-get-discounted-phone-service/qualified-income,,Go to step 2,Regrese al paso 2,返回到第2步
/who-can-get-discounted-phone-service/not-sure-qualified,,Contact us to find out if you can get California LifeLine,Contáctenos para averiguar si puede obtener California LifeLine,联系我们找出如果你能得到加州生命线
/who-can-get-discounted-phone-service/not-sure-qualified,,Monday–Friday,Lunes–Viernes,MF
/who-can-get-discounted-phone-service/not-sure-qualified,,7 a.m.–7 p.m.,7 a.m.–7 p.m.,上午7点 - 下午7时。
/who-can-get-discounted-phone-service/not-sure-qualified,,General number,Numero General,一般数
/who-can-get-discounted-phone-service/not-sure-qualified,,English,Inglés,英语
